bucket_type,bucket_key,decision_count,trade_count,win_rate_pct,avg_return_pct,median_return_pct,after_tax_net_pnl,open_position_count,open_unrealized_net_liquidation_pnl
STOCK_TREND,DOWNWARD,13714,0,,,,0.0,0,0
STOCK_TREND,INSUFFICIENT_DATA,8,0,,,,0.0,0,0
STOCK_TREND,SIDEWAYS,18726,0,,,,0.0,0,0
STOCK_TREND,TRANSITION,15986,2,100.0,0.1482,0.1482,591.1606,0,0
STOCK_TREND,UPWARD,20309,16,100.0,0.2135,0.1452,6815.3307,0,0
STOCK_ZONE,DOWNWARD_HIGH_VOL,8567,0,,,,0.0,0,0
STOCK_ZONE,DOWNWARD_LOW_NORMAL_VOL,5147,0,,,,0.0,0,0
STOCK_ZONE,INSUFFICIENT_DATA,8,0,,,,0.0,0,0
STOCK_ZONE,SIDEWAYS_HIGH_VOL,7191,0,,,,0.0,0,0
STOCK_ZONE,SIDEWAYS_LOW_NORMAL_VOL,11535,0,,,,0.0,0,0
STOCK_ZONE,TRANSITION_HIGH_VOL,6795,1,100.0,0.1525,0.1525,304.904,0,0
STOCK_ZONE,TRANSITION_LOW_NORMAL_VOL,9191,1,100.0,0.144,0.144,286.2566,0,0
STOCK_ZONE,UPWARD_HIGH_VOL,13109,14,100.0,0.2232,0.1452,6233.8616,0,0
STOCK_ZONE,UPWARD_LOW_NORMAL_VOL,7200,2,100.0,0.1458,0.1458,581.4691,0,0
NIFTY_TREND,DOWNWARD,3804,0,,,,0.0,0,0
NIFTY_TREND,SIDEWAYS,39622,10,100.0,0.2191,0.1479,4370.9811,0,0
NIFTY_TREND,TRANSITION,19242,3,100.0,0.1447,0.1448,867.4868,0,0
NIFTY_TREND,UPWARD,6075,5,100.0,0.2175,0.1439,2168.0234,0,0
NIFTY_ZONE,DOWNWARD_HIGH_VOL,1584,0,,,,0.0,0,0
NIFTY_ZONE,DOWNWARD_LOW_NORMAL_VOL,2220,0,,,,0.0,0,0
NIFTY_ZONE,SIDEWAYS_HIGH_VOL,2464,2,100.0,0.5091,0.5091,2031.8934,0,0
NIFTY_ZONE,SIDEWAYS_LOW_NORMAL_VOL,37158,8,100.0,0.1466,0.1459,2339.0877,0,0
NIFTY_ZONE,TRANSITION_HIGH_VOL,1528,0,,,,0.0,0,0
NIFTY_ZONE,TRANSITION_LOW_NORMAL_VOL,17714,3,100.0,0.1447,0.1448,867.4868,0,0
NIFTY_ZONE,UPWARD_HIGH_VOL,950,2,100.0,0.1467,0.1467,582.2862,0,0
NIFTY_ZONE,UPWARD_LOW_NORMAL_VOL,5125,3,100.0,0.2647,0.1439,1585.7372,0,0
BANK_NIFTY_TREND,DOWNWARD,5219,2,100.0,0.1482,0.1482,591.1606,0,0
BANK_NIFTY_TREND,SIDEWAYS,31345,6,100.0,0.2057,0.1442,2463.074,0,0
BANK_NIFTY_TREND,TRANSITION,22528,5,100.0,0.1465,0.1455,1460.0248,0,0
BANK_NIFTY_TREND,UPWARD,9651,5,100.0,0.2898,0.1478,2892.2319,0,0
BANK_NIFTY_ZONE,DOWNWARD_HIGH_VOL,1876,0,,,,0.0,0,0
BANK_NIFTY_ZONE,DOWNWARD_LOW_NORMAL_VOL,3343,2,100.0,0.1482,0.1482,591.1606,0,0
BANK_NIFTY_ZONE,SIDEWAYS_HIGH_VOL,1797,1,100.0,0.5111,0.5111,1020.5044,0,0
BANK_NIFTY_ZONE,SIDEWAYS_LOW_NORMAL_VOL,29548,5,100.0,0.1447,0.1437,1442.5696,0,0
BANK_NIFTY_ZONE,TRANSITION_HIGH_VOL,1917,2,100.0,0.1467,0.1467,582.2862,0,0
BANK_NIFTY_ZONE,TRANSITION_LOW_NORMAL_VOL,20611,3,100.0,0.1464,0.1455,877.7386,0,0
BANK_NIFTY_ZONE,UPWARD_HIGH_VOL,1926,1,100.0,0.507,0.507,1011.389,0,0
BANK_NIFTY_ZONE,UPWARD_LOW_NORMAL_VOL,7725,4,100.0,0.2355,0.1458,1880.8429,0,0
VIX_REGIME,HIGH,3950,2,100.0,0.5091,0.5091,2031.8934,0,0
VIX_REGIME,LOW,49116,12,100.0,0.1761,0.1452,4219.1928,0,0
VIX_REGIME,NORMAL,15677,4,100.0,0.1453,0.1438,1155.4051,0,0
SECTOR,Automobile and Auto Components,5444,0,,,,0.0,0,0
SECTOR,Capital Goods,4553,3,100.0,0.1455,0.1431,867.6274,0,0
SECTOR,Chemicals,1436,0,,,,0.0,0,0
SECTOR,Construction,718,0,,,,0.0,0,0
SECTOR,Construction Materials,2872,0,,,,0.0,0,0
SECTOR,Consumer Durables,2154,0,,,,0.0,0,0
SECTOR,Consumer Services,3174,0,,,,0.0,0,0
SECTOR,Fast Moving Consumer Goods,5537,0,,,,0.0,0,0
SECTOR,Financial Services,15502,3,100.0,0.386,0.507,2311.3429,0,0
SECTOR,Healthcare,5744,0,,,,0.0,0,0
SECTOR,Information Technology,3590,1,100.0,0.1448,0.1448,289.1015,0,0
SECTOR,Metals & Mining,5026,2,100.0,0.3296,0.3296,1316.3194,0,0
SECTOR,OTHER,146,0,,,,0.0,0,0
